movieID,Title,Runtime,Director,Writer,Actors,Release Date,Netflix Release Date,Production House
1,Lets Fight Ghost,< 30 minutes,Tomas Alfredson,John Ajvide Lindqvist,"Lina Leandersson, Kåre Hedebrant, Per Ragnar, Henrik Dahl",12-12-2008,04-03-2021,"Canal+, Sandrew Metronome"
2,HOW TO BUILD A GIRL,1-2 hour,Coky Giedroyc,Caitlin Moran,"Cleo, Paddy Considine, Beanie Feldstein, Dónal Finn",08-05-2020,04-03-2021,"Film 4, Monumental Pictures, Lionsgate"
3,The Con-Heartist,> 2 hrs,Mez Tharatorn,"Pattaranad Bhiboonsawade, Mez Tharatorn, Thodsapon Thiptinnakorn","Kathaleeya McIntosh, Nadech Kugimiya, Pimchanok Leuwisetpaiboon, Thiti Mahayotaruk",03-12-2020,03-03-2021,
4,Gleboka woda,< 30 minutes,,,"Katarzyna Maciag, Piotr Nowak, Marcin Dorocinski, Julia Kijowska",14-06-2011,03-03-2021,
5,Only a Mother,1-2 hour,Alf Sjöberg,Ivar Lo-Johansson,"Hugo Björne, Eva Dahlbeck, Ulf Palme, Ragnar Falck",31-10-1949,03-03-2021,
6,Snowroller,1-2 hour,Lasse Åberg,"Lasse Åberg, Bo Jonsson","Lasse Åberg, Cecilia Walton, Eva Millberg, Jon Skolmen",04-10-1985,03-03-2021,
7,The Invisible,1-2 hour,David S. Goyer,"Mats Wahl, Mick Davis, Christine Roum","Marcia Gay Harden, Margarita Levieva, Chris Marquette, Justin Chatwin",27-04-2007,03-03-2021,"Touchstone Pictures, Spyglass Entertainment"
8,The Simple Minded Murderer,1-2 hour,Hans Alfredson,Hans Alfredson,"Maria Johansson, Hans Alfredson, Stellan Skarsgård, Per Myrberg",01-09-1985,03-03-2021,"Svensk Filmindustri, Svenska Filminstitutet"
9,To Kill a Child,< 30 minutes,"José Esteban Alenda, César Esteban Alenda","Victoria Ruiz, José Esteban Alenda, César Esteban Alenda","Cristina Marcos, Manolo Solo, Roger Príncep, Roger Álvarez",07-02-2011,03-03-2021,
10,Joker,1-2 hour,Todd Phillips,"Bob Kane, Jerry Robinson, Bill Finger, Todd Phillips, Scott Silver","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy",04-10-2019,03-03-2021,"Bron Studios, Creative Wealth Media Finance, DC Comics"
11,I,1-2 hour,George Lucas,George Lucas,"Ewan McGregor, Natalie Portman, Jake Lloyd, Liam Neeson",19-05-1999,03-03-2021,Lucasfilm Ltd.
12,Harrys Daughters,1-2 hour,David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Ralph Fiennes, Alan Rickman, Michael Gambon",15-07-2011,03-03-2021,"Heyday Films, Moving Picture Company, Warner Bros."
13,Gyllene Tider,30-60 mins,Lasse Hallström,,"Anders Herrlin, Per Gessle, Micke Andersson, Göran Fritzson",,03-03-2021,
14,Girls und Panzer das Finale,< 30 minutes,Tsutomu Mizushima,Reiko Yoshida,"Ikumi Nakagami, Mai Fuchigami, Mami Ozaki, Ai Kayano",09-12-2017,02-03-2021,
15,The Coroner,< 30 minutes,,Sally Abbott,"Matt Bardock, Oliver Gomm, Claire Goose, Beatie Edney",16-11-2015,02-03-2021,
16,Brave New World,< 30 minutes,,"Brian Taylor, David Wiener, Grant Morrison","Harry Lloyd, Alden Ehrenreich, Nina Sosanya, Jessica Brown Findlay",15-07-2020,02-03-2021,
17,Comrades: Almost a Love Story,1-2 hour,Peter Ho-Sun Chan,Ivy Ho,"Maggie Cheung, Leon Lai, Kristy Yeung, Eric Tsang",02-11-1996,01-03-2021,
18,The Closet,1-2 hour,Francis Veber,Francis Veber,"Daniel Auteuil, Thierry Lhermitte, Michèle Laroque, Gérard Depardieu",10-08-2001,01-03-2021,"Miramax, Gaumont"
19,The Mysterians,1-2 hour,Ishirô Honda,"Jôjirô Okami, Takeshi Kimura, Shigeru Kayama","Akihiko Hirata, Yumi Shirakawa, Momoko Kôchi, Kenji Sahara",15-05-1959,01-03-2021,
20,Repast,1-2 hour,Mikio Naruse,"Sumie Tanaka, Fumiko Hayashi, Yasunari Kawabata, Toshirô Ide","Yukiko Shimazaki, Setsuko Hara, Yôko Sugi, Ken Uehara",23-11-1951,01-03-2021,
21,Sway,1-2 hour,Miwa Nishikawa,Miwa Nishikawa,"Hirofumi Arai, Teruyuki Kagawa, Joe Odagiri, Masatô Ibu",08-07-2006,01-03-2021,
22,When a Woman Ascends the Stairs,1-2 hour,Mikio Naruse,Ryûzô Kikushima,"Masayuki Mori, Hideko Takamine, Tatsuya Nakadai, Reiko Dan",25-06-1963,01-03-2021,
23,Yearning,1-2 hour,Mikio Naruse,"Mikio Naruse, Zenzô Matsuyama","Yûzô Kayama, Mitsuko Kusabue, Yumi Shirakawa, Hideko Takamine",23-10-1964,01-03-2021,
24,Ginza Cosmetics,1-2 hour,Mikio Naruse,"Matsuo Kishi, Tomoichirô Inoue","Kinuyo Tanaka, Yûji Hori, Ranko Hanai, Kyôko Kagawa",14-04-1951,01-03-2021,
25,Floating Clouds,> 2 hrs,Mikio Naruse,"Fumiko Hayashi, Yôko Mizuki","Mariko Okada, Masayuki Mori, Hideko Takamine, Isao Yamagata",06-06-1980,01-03-2021,
26,Restart After Come Back Home,1-2 hour,Ryûta Inoue,Kumiko Satô,"Masahiro Kômoto, Yûki Furukawa, Yukijirô Hotaru, Eri Murakawa",04-09-2020,01-03-2021,
27,Trial by Fire,> 2 hrs,Edward Zwick,"Geoffrey Fletcher, David Grann","Emily Meade, Chris Coy, Laura Dern, Jack O'Connell",17-05-2019,01-03-2021,Roadside Attractions
28,5 Minute,1-2 hour,,,Jeff Lewis,12-10-2010,01-03-2021,
29,Dilili in Paris,1-2 hour,Michel Ocelot,Michel Ocelot,"Enzo Ratsito, Bruno Paviot, Natalie Dessay, Prunelle Charles-Ambron",04-10-2019,01-03-2021,
30,Years and Years,< 30 minutes,,Russell T. Davies,"Ruth Madeley, T'Nia Miller, Anne Reid, Rory Kinnear",24-06-2019,01-03-2021,
31,The New Pope,< 30 minutes,,Paolo Sorrentino,"Silvio Orlando, Jude Law, John Malkovich, Cécile de France",13-01-2020,01-03-2021,
32,Life and Nothing But,> 2 hrs,Bertrand Tavernier,"Bertrand Tavernier, Jean Cosmos","Maurice Barrier, Sabine Azéma, Philippe Noiret, Pascale Vignal",06-09-1989,01-03-2021,"Little Bear [fr], Films A2, Hachette Première"
33,Let Joy Reign Supreme,1-2 hour,Bertrand Tavernier,"Bertrand Tavernier, Jean Aurenche","Christine Pascal, Philippe Noiret, Jean-Pierre Marielle, Jean Rochefort",26-03-1975,01-03-2021,
34,Coup de Torchon,> 2 hrs,Bertrand Tavernier,"Bertrand Tavernier, Jim Thompson, Jean Aurenche","Stéphane Audran, Philippe Noiret, Jean-Pierre Marielle, Isabelle Huppert",04-11-1981,01-03-2021,
35,Framing John DeLorean,1-2 hour,"Sheena M. Joyce, Don Argott","Alexandra Orton, Dan Greeney","Dean Winters, Josh Charles, Alec Baldwin, Morena Baccarin",07-06-2019,01-03-2021,"9.14 Pictures, XYZ Films"
36,The Bold Type,< 30 minutes,,Sarah Watson,"Aisha Dee, Meghann Fahy, Melora Hardin, Katie Stevens",20-06-2017,01-03-2021,
37,Alice,< 30 minutes,Woody Allen,Woody Allen,"William Hurt, June Squibb, Joe Mantegna, Mia Farrow",10-01-1991,01-03-2021,Orion Pictures
38,Miss Baek,1-2 hour,Ji-won Lee,Ji-won Lee,"Hee-joon Lee, Si-ah Kim, Jun Suk-ho, Han Ji-min",11-10-2018,28-02-2021,
