moviesID,Genre
1,"Crime, Drama, Fantasy, Horror, Romance"
2,Comedy
3,"Comedy, Romance"
4,Drama
5,Drama
6,Comedy
7,"Crime, Drama, Fantasy, Mystery, Thriller"
8,Drama
9,"Short, Drama"
10,"Crime, Drama, Thriller"
11,"Action, Adventure, Fantasy, Sci-Fi"
12,"Adventure, Drama, Fantasy, Mystery"
13,Music
14,"Animation, Action, Comedy"
15,"Crime, Drama"
16,"Drama, Sci-Fi"
17,"Drama, Romance"
18,Comedy
19,"Action, Family, Sci-Fi, Thriller"
20,Drama
21,"Crime, Drama"
22,Drama
23,Drama
24,Drama
25,"Drama, Romance"
26,"Drama, Romance"
27,"Biography, Drama"
28,Comedy
29,"Animation, Adventure, Family, Mystery"
30,"Drama, Sci-Fi"
31,Drama
32,"Drama, War"
33,"Drama, History, War"
34,"Comedy, Crime, Drama"
35,"Documentary, Biography, Drama"
36,Drama
37,"Comedy, Romance"
38,Drama
39,Documentary
40,Drama
41,Drama
42,"Biography, Drama, Romance, War"
43,"Biography, Drama, Romance, War"
44,Drama
45,"Crime, Drama"
46,"Action, Crime, Fantasy, Thriller"
47,"Adventure, Drama"
48,"Adventure, Drama, Mystery"
49,"Comedy, Drama, Family"
50,"Drama, Romance, Thriller"
51,"Comedy, History, Romance"
52,"Comedy, Drama"
53,Horror
54,"Action, Drama, Thriller"
55,"Action, Comedy, Crime"
56,Drama
57,"Crime, Drama, Film-Noir, Thriller"
58,"Action, Drama, Fantasy, Thriller"
59,"Comedy, Crime, Thriller"
60,"Horror, Thriller"
61,Drama
62,"Crime, Drama, Mystery, Thriller"
63,"Animation, Comedy, Drama, Family, Fantasy, Romance"
64,"Comedy, Drama"
65,"Comedy, Drama, Romance"
66,Animation
67,"Biography, Crime, Drama"
68,"Drama, History, War"
69,"Animation, Action, Adventure, Drama, Sci-Fi"
70,"Action, Biography, Crime, Thriller"
71,"Biography, Crime, Drama, Thriller, War"
72,"Action, Comedy, Crime, Thriller"
73,Documentary
74,"Animation, Comedy, Drama"
75,"Comedy, Drama"
76,Drama
77,Documentary
78,Comedy
79,"Comedy, Crime, Thriller"
80,Drama
81,Documentary
82,"Drama, Romance"
83,"Animation, Short"
84,"Comedy, Drama"
85,Drama
86,"Comedy, Drama, Fantasy, Romance"
