moviesID,Title,IMDb Score,Rotten Tomatoes Score,Metacritic Score
1,Lets Fight Ghost,7.9,98,82
2,HOW TO BUILD A GIRL,5.8,79,69
3,The Con-Heartist,7.4,,
4,Gleboka woda,7.5,,
5,Only a Mother,6.7,,
6,Snowroller,6.6,,
7,The Invisible,6.2,20,36
8,The Simple Minded Murderer,7.6,92,
9,To Kill a Child,7.7,,
10,Joker,8.4,68,59
11,I,6.5,52,51
12,Harrys Daughters,8.1,96,85
13,Gyllene Tider,7.7,,
14,Girls und Panzer das Finale,7.3,,
15,The Coroner,7,,
16,Brave New World,7.1,,
17,Comrades: Almost a Love Story,8.1,89,
18,The Closet,7,85,72
19,The Mysterians,6.2,51,
20,Repast,7.7,87,
21,Sway,7.2,86,
22,When a Woman Ascends the Stairs,8.1,100,
23,Yearning,8.1,88,
24,Ginza Cosmetics,6.9,45,
25,Floating Clouds,7.7,83,
26,Restart After Come Back Home,7.2,,
27,Trial by Fire,6.9,61,51
28,5 Minute,8.6,,
29,Dilili in Paris,7,,37
30,Years and Years,8.3,,
31,The New Pope,8.2,,
32,Life and Nothing But,7.4,86,
33,Let Joy Reign Supreme,7.1,79,
34,Coup de Torchon,7.5,83,
35,Framing John DeLorean,6.5,90,67
36,The Bold Type,8,,
37,Alice,6.6,75,67
38,Miss Baek,6.6,,
39,Old Marine Boy,6.9,,
40,Ordinary People,7.7,89,86
41,Paths of the Soul,7.5,94,90
42,Promise at Dawn,7.2,,
43,Rebel in the Rye,6.7,30,46
44,The Return,8,,82
45,The Rookies,6.7,,
46,Stray,4.8,56,54
47,Stand by Me,8.1,91,75
48,Wonderstruck,6.2,68,71
49,Keys To The Heart,7.5,77,
50,Intimate Strangers,7,86,71
51,Homme Fatale,6.9,,
52,Happy Bus Day,6.8,,
53,Gonjiam: Haunted Asylum,6.3,91,
54,Golden Slumber,7.1,75,
55,Extreme Job,7.1,82,
56,Default,6.6,78,
57,The Big Shot,6.7,,
58,Angels Time,7.9,,
59,The Accidental Detective 2: In Action,6.5,73,
60,12 Feet Deep,5.5,,
61,1987: When the Day Comes,7.8,82,
62,The Girl on the Train,6.5,44,48
63,Ride Your Wave,6.8,93,63
64,Baumbacher Syndrome,7.4,,
65,La Palma,7.6,,
66,Geez & Ann,8,,
67,Capone,4.7,,46
68,The Last Bastion,8.5,,
69,Princess Principal,7.3,,
70,Above Suspicion,5.5,,57
71,A Call to Spy,6.3,,65
72,Red,7,72,60
73,Made You Look: A True Story About Fake Art,7,,
74,Chihayafuru,8.2,,
75,Classmates Minus,7.4,,
76,Oh My JUMP!,8.4,,
77,The Mole Agent,7.6,,69
78,The Loop,7.3,,
79,I Care a Lot,6.6,,67
80,Burden,6.6,97,57
81,Collective,8.4,,95
82,Love,6.1,40,51
83,Sisyphus,6.9,,
84,Eeb Allay Ooo!,7.4,,
85,Ten Years Japan,5.6,100,
86,Love at Second Sight,7,,
87,Liberation,7.8,,
88,Amanda,7,,63
89,Corpus Christi,7.7,,77
90,The Shadow,6.1,35,50
91,Artysci,7.9,,
92,Overcoming,6.9,88,
93,Aftermath,5.7,42,44
94,Awara Paagal Deewana,6.2,54,
95,Unhinged,6.1,,40
96,John Lewis: Good Trouble,7.1,,70
97,Repo Man,6.9,98,82
98,For Love of the Game,6.6,46,43
99,Uppercut,6.8,,
100,The Replacement Killers,6.2,36,42
101,Then Came You,7,59,44
102,Story of Women,7.5,82,
103,The Flower of Evil,6.5,64,67
104,The Swindle,6.5,69,
105,Madame Bovary,5.7,43,52
106,Betty,6.7,,
107,New Amsterdam,8.1,,
108,Wheel of Fortune,6.7,,
109,The Photograph,6,,62
110,Monsoon,5.9,,69
111,White House Farm,7.4,,
